buying_price,maintenance_price,number_doors,capacity,luggage_boot_size,safety_level,class
very_high,high,two,four,small,high,unacceptable
very_high,high,two,four,medium,low,unacceptable
very_high,high,two,four,medium,medium,unacceptable
very_high,high,two,four,medium,high,unacceptable
very_high,high,two,four,large,low,unacceptable
very_high,high,two,four,large,medium,unacceptable
very_high,high,two,four,large,high,unacceptable
very_high,high,two,5_or_more,small,low,unacceptable
very_high,high,two,5_or_more,small,medium,unacceptable
very_high,high,two,5_or_more,small,high,unacceptable
very_high,high,two,5_or_more,medium,low,unacceptable
very_high,high,two,5_or_more,medium,medium,unacceptable
very_high,high,two,5_or_more,medium,high,unacceptable
very_high,high,two,5_or_more,large,low,unacceptable
very_high,high,two,5_or_more,large,medium,unacceptable
very_high,high,two,5_or_more,large,high,unacceptable
very_high,high,three,two,small,low,unacceptable
very_high,high,three,two,small,medium,unacceptable
very_high,high,three,two,small,high,unacceptable
very_high,high,three,two,medium,low,unacceptable
very_high,high,three,two,medium,medium,unacceptable
very_high,high,three,two,medium,high,unacceptable
very_high,high,three,two,large,low,unacceptable
very_high,high,three,two,large,medium,unacceptable
very_high,high,three,two,large,high,unacceptable
very_high,high,three,four,small,low,unacceptable
very_high,high,three,four,small,medium,unacceptable
very_high,high,three,four,small,high,unacceptable
very_high,high,three,four,medium,low,unacceptable
very_high,high,three,four,medium,medium,unacceptable
very_high,high,three,four,medium,high,unacceptable
very_high,high,three,four,large,low,unacceptable
very_high,high,three,four,large,medium,unacceptable
very_high,high,three,four,large,high,unacceptable
very_high,high,three,5_or_more,small,low,unacceptable
very_high,high,three,5_or_more,small,medium,unacceptable
very_high,high,three,5_or_more,small,high,unacceptable
very_high,high,three,5_or_more,medium,low,unacceptable
very_high,high,three,5_or_more,medium,medium,unacceptable
very_high,high,three,5_or_more,medium,high,unacceptable
very_high,high,three,5_or_more,large,low,unacceptable
very_high,high,three,5_or_more,large,medium,unacceptable
very_high,high,three,5_or_more,large,high,unacceptable
very_high,high,four,two,small,low,unacceptable
very_high,high,four,two,small,medium,unacceptable
very_high,high,four,two,small,high,unacceptable
very_high,high,four,two,medium,low,unacceptable
very_high,high,four,two,medium,medium,unacceptable
very_high,high,four,two,medium,high,unacceptable
very_high,high,four,two,large,low,unacceptable
very_high,high,four,two,large,medium,unacceptable
very_high,high,four,two,large,high,unacceptable
very_high,high,four,four,small,low,unacceptable
very_high,high,four,four,small,medium,unacceptable
very_high,high,four,four,small,high,unacceptable
very_high,high,four,four,medium,low,unacceptable
very_high,high,four,four,medium,medium,unacceptable
very_high,high,four,four,medium,high,unacceptable
very_high,high,four,four,large,low,unacceptable
very_high,high,four,four,large,medium,unacceptable
very_high,high,four,four,large,high,unacceptable
very_high,high,four,5_or_more,small,low,unacceptable
very_high,high,four,5_or_more,small,medium,unacceptable
very_high,high,four,5_or_more,small,high,unacceptable
very_high,high,four,5_or_more,medium,low,unacceptable
very_high,high,four,5_or_more,medium,medium,unacceptable
very_high,high,four,5_or_more,medium,high,unacceptable
very_high,high,four,5_or_more,large,low,unacceptable
very_high,high,four,5_or_more,large,medium,unacceptable
very_high,high,four,5_or_more,large,high,unacceptable
very_high,high,5_or_more,two,small,low,unacceptable
very_high,high,5_or_more,two,small,medium,unacceptable
very_high,high,5_or_more,two,small,high,unacceptable
very_high,high,5_or_more,two,medium,low,unacceptable
very_high,high,5_or_more,two,medium,medium,unacceptable
very_high,high,5_or_more,two,medium,high,unacceptable
very_high,high,5_or_more,two,large,low,unacceptable
very_high,high,5_or_more,two,large,medium,unacceptable
very_high,high,5_or_more,two,large,high,unacceptable
very_high,high,5_or_more,four,small,low,unacceptable
very_high,high,5_or_more,four,small,medium,unacceptable
very_high,high,5_or_more,four,small,high,unacceptable
very_high,high,5_or_more,four,medium,low,unacceptable
very_high,high,5_or_more,four,medium,medium,unacceptable
very_high,high,5_or_more,four,medium,high,unacceptable
very_high,high,5_or_more,four,large,low,unacceptable
very_high,high,5_or_more,four,large,medium,unacceptable
very_high,high,5_or_more,four,large,high,unacceptable
very_high,high,5_or_more,5_or_more,small,low,unacceptable
very_high,high,5_or_more,5_or_more,small,medium,unacceptable
very_high,high,5_or_more,5_or_more,small,high,unacceptable
very_high,high,5_or_more,5_or_more,medium,low,unacceptable
very_high,high,5_or_more,5_or_more,medium,medium,unacceptable
very_high,high,5_or_more,5_or_more,medium,high,unacceptable
very_high,high,5_or_more,5_or_more,large,low,unacceptable
very_high,high,5_or_more,5_or_more,large,medium,unacceptable
very_high,high,5_or_more,5_or_more,large,high,unacceptable
very_high,medium,two,two,small,low,unacceptable
very_high,medium,two,two,small,medium,unacceptable
very_high,medium,two,two,small,high,unacceptable
very_high,medium,two,two,medium,low,unacceptable
very_high,medium,two,two,medium,medium,unacceptable
very_high,medium,two,two,medium,high,unacceptable
very_high,medium,two,two,large,low,unacceptable
very_high,medium,two,two,large,medium,unacceptable
very_high,medium,two,two,large,high,unacceptable
very_high,medium,two,four,small,low,unacceptable
very_high,medium,two,four,small,medium,unacceptable
very_high,medium,two,four,small,high,acceptable
very_high,medium,two,four,medium,low,unacceptable
very_high,medium,two,four,medium,medium,unacceptable
very_high,medium,two,four,medium,high,acceptable
very_high,medium,two,four,large,low,unacceptable
very_high,medium,two,four,large,medium,acceptable
very_high,medium,two,four,large,high,acceptable
very_high,medium,two,5_or_more,small,low,unacceptable
very_high,medium,two,5_or_more,small,medium,unacceptable
very_high,medium,two,5_or_more,small,high,unacceptable
very_high,medium,two,5_or_more,medium,low,unacceptable
very_high,medium,two,5_or_more,medium,medium,unacceptable
very_high,medium,two,5_or_more,medium,high,acceptable
very_high,medium,two,5_or_more,large,low,unacceptable
very_high,medium,two,5_or_more,large,medium,acceptable
very_high,medium,two,5_or_more,large,high,acceptable
very_high,medium,three,two,small,low,unacceptable
very_high,medium,three,two,small,medium,unacceptable
very_high,medium,three,two,small,high,unacceptable
very_high,medium,three,two,medium,low,unacceptable
very_high,medium,three,two,medium,medium,unacceptable
very_high,medium,three,two,medium,high,unacceptable
very_high,medium,three,two,large,low,unacceptable
very_high,medium,three,two,large,medium,unacceptable
very_high,medium,three,two,large,high,unacceptable
very_high,medium,three,four,small,low,unacceptable
very_high,medium,three,four,small,medium,unacceptable
very_high,medium,three,four,small,high,acceptable
very_high,medium,three,four,medium,low,unacceptable
very_high,medium,three,four,medium,medium,unacceptable
very_high,medium,three,four,medium,high,acceptable
very_high,medium,three,four,large,low,unacceptable
very_high,medium,three,four,large,medium,acceptable
very_high,medium,three,four,large,high,acceptable
very_high,medium,three,5_or_more,small,low,unacceptable
very_high,medium,three,5_or_more,small,medium,unacceptable
very_high,medium,three,5_or_more,small,high,acceptable
very_high,medium,three,5_or_more,medium,low,unacceptable
very_high,medium,three,5_or_more,medium,medium,acceptable
very_high,medium,three,5_or_more,medium,high,acceptable
very_high,medium,three,5_or_more,large,low,unacceptable
very_high,medium,three,5_or_more,large,medium,acceptable
very_high,medium,three,5_or_more,large,high,acceptable
very_high,medium,four,two,small,low,unacceptable
very_high,medium,four,two,small,medium,unacceptable
very_high,medium,four,two,small,high,unacceptable
very_high,medium,four,two,medium,low,unacceptable
very_high,medium,four,two,medium,medium,unacceptable
very_high,medium,four,two,medium,high,unacceptable
very_high,medium,four,two,large,low,unacceptable
very_high,medium,four,two,large,medium,unacceptable
very_high,medium,four,two,large,high,unacceptable
very_high,medium,four,four,small,low,unacceptable
very_high,medium,four,four,small,medium,unacceptable
very_high,medium,four,four,small,high,acceptable
very_high,medium,four,four,medium,low,unacceptable
very_high,medium,four,four,medium,medium,acceptable
very_high,medium,four,four,medium,high,acceptable
very_high,medium,four,four,large,low,unacceptable
very_high,medium,four,four,large,medium,acceptable
very_high,medium,four,four,large,high,acceptable
very_high,medium,four,5_or_more,small,low,unacceptable
very_high,medium,four,5_or_more,small,medium,unacceptable
very_high,medium,four,5_or_more,small,high,acceptable
very_high,medium,four,5_or_more,medium,low,unacceptable
very_high,medium,four,5_or_more,medium,medium,acceptable
very_high,medium,four,5_or_more,medium,high,acceptable
very_high,medium,four,5_or_more,large,low,unacceptable
very_high,medium,four,5_or_more,large,medium,acceptable
very_high,medium,four,5_or_more,large,high,acceptable
very_high,medium,5_or_more,two,small,low,unacceptable
very_high,medium,5_or_more,two,small,medium,unacceptable
very_high,medium,5_or_more,two,small,high,unacceptable
very_high,medium,5_or_more,two,medium,low,unacceptable
very_high,medium,5_or_more,two,medium,medium,unacceptable
very_high,medium,5_or_more,two,medium,high,unacceptable
very_high,medium,5_or_more,two,large,low,unacceptable
very_high,medium,5_or_more,two,large,medium,unacceptable
very_high,medium,5_or_more,two,large,high,unacceptable
very_high,medium,5_or_more,four,small,low,unacceptable
very_high,medium,5_or_more,four,small,medium,unacceptable
very_high,medium,5_or_more,four,small,high,acceptable
very_high,medium,5_or_more,four,medium,low,unacceptable
very_high,medium,5_or_more,four,medium,medium,acceptable
very_high,medium,5_or_more,four,medium,high,acceptable
very_high,medium,5_or_more,four,large,low,unacceptable
very_high,medium,5_or_more,four,large,medium,acceptable
very_high,medium,5_or_more,four,large,high,acceptable
very_high,medium,5_or_more,5_or_more,small,low,unacceptable
very_high,medium,5_or_more,5_or_more,small,medium,unacceptable
very_high,medium,5_or_more,5_or_more,small,high,acceptable
very_high,medium,5_or_more,5_or_more,medium,low,unacceptable
very_high,medium,5_or_more,5_or_more,medium,medium,acceptable
very_high,medium,5_or_more,5_or_more,medium,high,acceptable
very_high,medium,5_or_more,5_or_more,large,low,unacceptable
very_high,medium,5_or_more,5_or_more,large,medium,acceptable
very_high,medium,5_or_more,5_or_more,large,high,acceptable
very_high,low,two,two,small,low,unacceptable
very_high,low,two,two,small,medium,unacceptable
very_high,low,two,two,small,high,unacceptable
very_high,low,two,two,medium,low,unacceptable
very_high,low,two,two,medium,medium,unacceptable
very_high,low,two,two,medium,high,unacceptable
very_high,low,two,two,large,low,unacceptable
very_high,low,two,two,large,medium,unacceptable
very_high,low,two,two,large,high,unacceptable
very_high,low,two,four,small,low,unacceptable
very_high,low,two,four,small,medium,unacceptable
very_high,low,two,four,small,high,acceptable
very_high,low,two,four,medium,low,unacceptable
very_high,low,two,four,medium,medium,unacceptable
very_high,low,two,four,medium,high,acceptable
very_high,low,two,four,large,low,unacceptable
very_high,low,two,four,large,medium,acceptable
very_high,low,two,four,large,high,acceptable
very_high,low,two,5_or_more,small,low,unacceptable
very_high,low,two,5_or_more,small,medium,unacceptable
very_high,low,two,5_or_more,small,high,unacceptable
very_high,low,two,5_or_more,medium,low,unacceptable
very_high,low,two,5_or_more,medium,medium,unacceptable
very_high,low,two,5_or_more,medium,high,acceptable
very_high,low,two,5_or_more,large,low,unacceptable
very_high,low,two,5_or_more,large,medium,acceptable
very_high,low,two,5_or_more,large,high,acceptable
very_high,low,three,two,small,low,unacceptable
very_high,low,three,two,small,medium,unacceptable
very_high,low,three,two,small,high,unacceptable
very_high,low,three,two,medium,low,unacceptable
very_high,low,three,two,medium,medium,unacceptable
very_high,low,three,two,medium,high,unacceptable
very_high,low,three,two,large,low,unacceptable
very_high,low,three,two,large,medium,unacceptable
very_high,low,three,two,large,high,unacceptable
very_high,low,three,four,small,low,unacceptable
very_high,low,three,four,small,medium,unacceptable
very_high,low,three,four,small,high,acceptable
very_high,low,three,four,medium,low,unacceptable
very_high,low,three,four,medium,medium,unacceptable
very_high,low,three,four,medium,high,acceptable
very_high,low,three,four,large,low,unacceptable
very_high,low,three,four,large,medium,acceptable
very_high,low,three,four,large,high,acceptable
very_high,low,three,5_or_more,small,low,unacceptable
very_high,low,three,5_or_more,small,medium,unacceptable
very_high,low,three,5_or_more,small,high,acceptable
very_high,low,three,5_or_more,medium,low,unacceptable
very_high,low,three,5_or_more,medium,medium,acceptable
very_high,low,three,5_or_more,medium,high,acceptable
very_high,low,three,5_or_more,large,low,unacceptable
very_high,low,three,5_or_more,large,medium,acceptable
very_high,low,three,5_or_more,large,high,acceptable
very_high,low,four,two,small,low,unacceptable
very_high,low,four,two,small,medium,unacceptable
very_high,low,four,two,small,high,unacceptable
very_high,low,four,two,medium,low,unacceptable
very_high,low,four,two,medium,medium,unacceptable
very_high,low,four,two,medium,high,unacceptable
very_high,low,four,two,large,low,unacceptable
very_high,low,four,two,large,medium,unacceptable
very_high,low,four,two,large,high,unacceptable
very_high,low,four,four,small,low,unacceptable
very_high,low,four,four,small,medium,unacceptable
very_high,low,four,four,small,high,acceptable
very_high,low,four,four,medium,low,unacceptable
very_high,low,four,four,medium,medium,acceptable
very_high,low,four,four,medium,high,acceptable
very_high,low,four,four,large,low,unacceptable
very_high,low,four,four,large,medium,acceptable
very_high,low,four,four,large,high,acceptable
very_high,low,four,5_or_more,small,low,unacceptable
very_high,low,four,5_or_more,small,medium,unacceptable
very_high,low,four,5_or_more,small,high,acceptable
very_high,low,four,5_or_more,medium,low,unacceptable
very_high,low,four,5_or_more,medium,medium,acceptable
very_high,low,four,5_or_more,medium,high,acceptable
very_high,low,four,5_or_more,large,low,unacceptable
very_high,low,four,5_or_more,large,medium,acceptable
very_high,low,four,5_or_more,large,high,acceptable
very_high,low,5_or_more,two,small,low,unacceptable
very_high,low,5_or_more,two,small,medium,unacceptable
very_high,low,5_or_more,two,small,high,unacceptable
very_high,low,5_or_more,two,medium,low,unacceptable
very_high,low,5_or_more,two,medium,medium,unacceptable
very_high,low,5_or_more,two,medium,high,unacceptable
very_high,low,5_or_more,two,large,low,unacceptable
very_high,low,5_or_more,two,large,medium,unacceptable
very_high,low,5_or_more,two,large,high,unacceptable
very_high,low,5_or_more,four,small,low,unacceptable
very_high,low,5_or_more,four,small,medium,unacceptable
very_high,low,5_or_more,four,small,high,acceptable
very_high,low,5_or_more,four,medium,low,unacceptable
very_high,low,5_or_more,four,medium,medium,acceptable
very_high,low,5_or_more,four,medium,high,acceptable
very_high,low,5_or_more,four,large,low,unacceptable
very_high,low,5_or_more,four,large,medium,acceptable
very_high,low,5_or_more,four,large,high,acceptable
very_high,low,5_or_more,5_or_more,small,low,unacceptable
very_high,low,5_or_more,5_or_more,small,medium,unacceptable
very_high,low,5_or_more,5_or_more,small,high,acceptable
very_high,low,5_or_more,5_or_more,medium,low,unacceptable
very_high,low,5_or_more,5_or_more,medium,medium,acceptable
very_high,low,5_or_more,5_or_more,medium,high,acceptable
very_high,low,5_or_more,5_or_more,large,low,unacceptable
very_high,low,5_or_more,5_or_more,large,medium,acceptable
very_high,low,5_or_more,5_or_more,large,high,acceptable
high,very_high,two,two,small,low,unacceptable
high,very_high,two,two,small,medium,unacceptable
high,very_high,two,two,small,high,unacceptable
high,very_high,two,two,medium,low,unacceptable
high,very_high,two,two,medium,medium,unacceptable
high,very_high,two,two,medium,high,unacceptable
high,very_high,two,two,large,low,unacceptable
high,very_high,two,two,large,medium,unacceptable
high,very_high,two,two,large,high,unacceptable
high,very_high,two,four,small,low,unacceptable
high,very_high,two,four,small,medium,unacceptable
high,very_high,two,four,small,high,unacceptable
high,very_high,two,four,medium,low,unacceptable
high,very_high,two,four,medium,medium,unacceptable
high,very_high,two,four,medium,high,unacceptable
high,very_high,two,four,large,low,unacceptable
high,very_high,two,four,large,medium,unacceptable
high,very_high,two,four,large,high,unacceptable
high,very_high,two,5_or_more,small,low,unacceptable
high,very_high,two,5_or_more,small,medium,unacceptable
high,very_high,two,5_or_more,small,high,unacceptable
high,very_high,two,5_or_more,medium,low,unacceptable
high,very_high,two,5_or_more,medium,medium,unacceptable
high,very_high,two,5_or_more,medium,high,unacceptable
high,very_high,two,5_or_more,large,low,unacceptable
high,very_high,two,5_or_more,large,medium,unacceptable
high,very_high,two,5_or_more,large,high,unacceptable
high,very_high,three,two,small,low,unacceptable
high,very_high,three,two,small,medium,unacceptable
high,very_high,three,two,small,high,unacceptable
high,very_high,three,two,medium,low,unacceptable
high,very_high,three,two,medium,medium,unacceptable
high,very_high,three,two,medium,high,unacceptable
high,very_high,three,two,large,low,unacceptable
high,very_high,three,two,large,medium,unacceptable
high,very_high,three,two,large,high,unacceptable
high,very_high,three,four,small,low,unacceptable
high,very_high,three,four,small,medium,unacceptable
high,very_high,three,four,small,high,unacceptable
high,very_high,three,four,medium,low,unacceptable
high,very_high,three,four,medium,medium,unacceptable
high,very_high,three,four,medium,high,unacceptable
high,very_high,three,four,large,low,unacceptable
high,very_high,three,four,large,medium,unacceptable
high,very_high,three,four,large,high,unacceptable
high,very_high,three,5_or_more,small,low,unacceptable
high,very_high,three,5_or_more,small,medium,unacceptable
high,very_high,three,5_or_more,small,high,unacceptable
high,very_high,three,5_or_more,medium,low,unacceptable
high,very_high,three,5_or_more,medium,medium,unacceptable
high,very_high,three,5_or_more,medium,high,unacceptable
high,very_high,three,5_or_more,large,low,unacceptable
high,very_high,three,5_or_more,large,medium,unacceptable
high,very_high,three,5_or_more,large,high,unacceptable
high,very_high,four,two,small,low,unacceptable
high,very_high,four,two,small,medium,unacceptable
high,very_high,four,two,small,high,unacceptable
high,very_high,four,two,medium,low,unacceptable
high,very_high,four,two,medium,medium,unacceptable
high,very_high,four,two,medium,high,unacceptable
high,very_high,four,two,large,low,unacceptable
high,very_high,four,two,large,medium,unacceptable
high,very_high,four,two,large,high,unacceptable
high,very_high,four,four,small,low,unacceptable
high,very_high,four,four,small,medium,unacceptable
high,very_high,four,four,small,high,unacceptable
high,very_high,four,four,medium,low,unacceptable
high,very_high,four,four,medium,medium,unacceptable
high,very_high,four,four,medium,high,unacceptable
high,very_high,four,four,large,low,unacceptable
high,very_high,four,four,large,medium,unacceptable
high,very_high,four,four,large,high,unacceptable
high,very_high,four,5_or_more,small,low,unacceptable
high,very_high,four,5_or_more,small,medium,unacceptable
high,very_high,four,5_or_more,small,high,unacceptable
high,very_high,four,5_or_more,medium,low,unacceptable
high,very_high,four,5_or_more,medium,medium,unacceptable
high,very_high,four,5_or_more,medium,high,unacceptable
high,very_high,four,5_or_more,large,low,unacceptable
high,very_high,four,5_or_more,large,medium,unacceptable
high,very_high,four,5_or_more,large,high,unacceptable
high,very_high,5_or_more,two,small,low,unacceptable
high,very_high,5_or_more,two,small,medium,unacceptable
high,very_high,5_or_more,two,small,high,unacceptable
high,very_high,5_or_more,two,medium,low,unacceptable
high,very_high,5_or_more,two,medium,medium,unacceptable
high,very_high,5_or_more,two,medium,high,unacceptable
high,very_high,5_or_more,two,large,low,unacceptable
high,very_high,5_or_more,two,large,medium,unacceptable
high,very_high,5_or_more,two,large,high,unacceptable
high,very_high,5_or_more,four,small,low,unacceptable
high,very_high,5_or_more,four,small,medium,unacceptable
high,very_high,5_or_more,four,small,high,unacceptable
high,very_high,5_or_more,four,medium,low,unacceptable
high,very_high,5_or_more,four,medium,medium,unacceptable
high,very_high,5_or_more,four,medium,high,unacceptable
high,very_high,5_or_more,four,large,low,unacceptable
high,very_high,5_or_more,four,large,medium,unacceptable
high,very_high,5_or_more,four,large,high,unacceptable
high,very_high,5_or_more,5_or_more,small,low,unacceptable
high,very_high,5_or_more,5_or_more,small,medium,unacceptable
high,very_high,5_or_more,5_or_more,small,high,unacceptable
high,very_high,5_or_more,5_or_more,medium,low,unacceptable
high,very_high,5_or_more,5_or_more,medium,medium,unacceptable
high,very_high,5_or_more,5_or_more,medium,high,unacceptable
high,very_high,5_or_more,5_or_more,large,low,unacceptable
high,very_high,5_or_more,5_or_more,large,medium,unacceptable
high,very_high,5_or_more,5_or_more,large,high,unacceptable
high,high,two,two,small,low,unacceptable
high,high,two,two,small,medium,unacceptable
high,high,two,two,small,high,unacceptable
high,high,two,two,medium,low,unacceptable
high,high,two,two,medium,medium,unacceptable
high,high,two,two,medium,high,unacceptable
high,high,two,two,large,low,unacceptable
high,high,two,two,large,medium,unacceptable
high,high,two,two,large,high,unacceptable
high,high,two,four,small,low,unacceptable
high,high,two,four,small,medium,unacceptable
high,high,two,four,small,high,acceptable
high,high,two,four,medium,low,unacceptable
high,high,two,four,medium,medium,unacceptable
high,high,two,four,medium,high,acceptable
high,high,two,four,large,low,unacceptable
high,high,two,four,large,medium,acceptable
high,high,two,four,large,high,acceptable
high,high,two,5_or_more,small,low,unacceptable
high,high,two,5_or_more,small,medium,unacceptable
high,high,two,5_or_more,small,high,unacceptable
high,high,two,5_or_more,medium,low,unacceptable
high,high,two,5_or_more,medium,medium,unacceptable
high,high,two,5_or_more,medium,high,acceptable
high,high,two,5_or_more,large,low,unacceptable
high,high,two,5_or_more,large,medium,acceptable
high,high,two,5_or_more,large,high,acceptable
high,high,three,two,small,low,unacceptable
high,high,three,two,small,medium,unacceptable
high,high,three,two,small,high,unacceptable
high,high,three,two,medium,low,unacceptable
high,high,three,two,medium,medium,unacceptable
high,high,three,two,medium,high,unacceptable
high,high,three,two,large,low,unacceptable
high,high,three,two,large,medium,unacceptable
high,high,three,two,large,high,unacceptable
high,high,three,four,small,low,unacceptable
high,high,three,four,small,medium,unacceptable
high,high,three,four,small,high,acceptable
high,high,three,four,medium,low,unacceptable
high,high,three,four,medium,medium,unacceptable
high,high,three,four,medium,high,acceptable
high,high,three,four,large,low,unacceptable
high,high,three,four,large,medium,acceptable
high,high,three,four,large,high,acceptable
high,high,three,5_or_more,small,low,unacceptable
high,high,three,5_or_more,small,medium,unacceptable
high,high,three,5_or_more,small,high,acceptable
high,high,three,5_or_more,medium,low,unacceptable
high,high,three,5_or_more,medium,medium,acceptable
high,high,three,5_or_more,medium,high,acceptable
high,high,three,5_or_more,large,low,unacceptable
high,high,three,5_or_more,large,medium,acceptable
high,high,three,5_or_more,large,high,acceptable
high,high,four,two,small,low,unacceptable
high,high,four,two,small,medium,unacceptable
high,high,four,two,small,high,unacceptable
high,high,four,two,medium,low,unacceptable
high,high,four,two,medium,medium,unacceptable
high,high,four,two,medium,high,unacceptable
high,high,four,two,large,low,unacceptable
high,high,four,two,large,medium,unacceptable
high,high,four,two,large,high,unacceptable
high,high,four,four,small,low,unacceptable
